"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"","","","","disqualification","",""
"","","","","disqualification of bankrupt","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","141","Restrictions on bankrupt","","CIRP","",""
"","","","","bankrupt","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","restrictions","",""
"","","","","restrictions on bankrupt","",""
"The Insolvency And Bankruptcy Code, 2016","142","Modification or recall of bankruptcy order","","CIRP","court_order",""
"","","","","bankruptcy","order",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","modification or recall of bankruptcy order","",""
"","","","","order","",""
"","","","","recall","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","143","Standard of conduct","","CIRP","code_of_conduct",""
"","","","","bankruptcy","company_policy",""
"","","","","code of conduct","",""
"","","","","company_policy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","standard of conduct","",""
"The Insolvency And Bankruptcy Code, 2016","144","Fees of bankruptcy trustee","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","fees","",""
"","","","","fees of bankruptcy trustee","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","145","Replacement of bankruptcy trustee","","CIRP","appointment_letter",""
"","","","","appointment_letter","estate_documents",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","replacement","",""
"","","","","replacement of bankruptcy trustee","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","146","Resignation by bankruptcy trustee","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resignation","",""
"","","","","resignation by bankruptcy trustee","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","147","Vacancy in office of bankruptcy trustee","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","vacancy","",""
"","","","","vacancy in office of bankruptcy trustee","",""
"The Insolvency And Bankruptcy Code, 2016","148","Release of bankruptcy trustee","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","release","",""
"","","","","release of bankruptcy trustee","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","149","Functions of bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","functions","",""
"","","","","functions of bankruptcy trustee","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","150","Duties of bankrupt towards bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankrupt","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","duties of bankrupt towards bankruptcy trustee","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","151","Rights of bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","rights","",""
"","","","","rights of bankruptcy trustee","",""
"The Insolvency And Bankruptcy Code, 2016","152","General powers of bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","general powers of bankruptcy trustee","",""
"","","","","insolvency","",""
"","","","","powers","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","153","Approval of creditors for certain acts","","CIRP","",""
"","","","","approval of creditors for certain acts","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","154","Vesting of estate of bankrupt in bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankrupt","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","estate of bankrupt","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","vesting","",""
"","","","","vesting of estate of bankrupt in bankruptcy trustee","",""
"The Insolvency And Bankruptcy Code, 2016","155","Estate of bankrupt","","CIRP","","estate_documents"
"","","","","bankrupt","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","estate of bankrupt","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","156","Delivery of property and documents to bankruptcy trustee","","CIRP","","estate_documents"
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","delivery of property and documents to bankruptcy trustee","",""
"","","","","documents","",""
"","","","","insolvency","",""
"","","","","property","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","157","Acquisition of control by bankruptcy trustee","","CIRP","","estate_documents"
"","","","","acquisition of control by bankruptcy trustee","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","control","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","158","Restrictions on disposition of property","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
